categoria,tipo,termo
Impaciência / Irritação,Interjeição Simples,Hum!
Impaciência / Irritação,Interjeição Simples,Poxa!
Impaciência / Irritação,Locução Interjectiva,Pobre de mim!
Impaciência / Irritação,Locução Interjectiva,Chega disso!
Impaciência / Irritação,Locução Interjectiva,Tenha dó!
Medo / Terror,Interjeição Simples,Ui!
Medo / Terror,Interjeição Simples,Credo!
Medo / Terror,Interjeição Simples,Cruzes!
Medo / Terror,Interjeição Simples,Uh!
Medo / Terror,Locução Interjectiva,Que medo!
Medo / Terror,Locução Interjectiva,Santa Maria!
Medo / Terror,Locução Interjectiva,Deus nos acuda!
Reprovação / Indignação,Interjeição Simples,Francamente!
Reprovação / Indignação,Interjeição Simples,Chega!
Reprovação / Indignação,Interjeição Simples,Bastante!
Reprovação / Indignação,Interjeição Simples,Pudera!
Reprovação / Indignação,Locução Interjectiva,Que vergonha!
Reprovação / Indignação,Locução Interjectiva,Ora bolas!
Reprovação / Indignação,Locução Interjectiva,Nem pensar!
Saudação / Despedida,Interjeição Simples,Olá!
Saudação / Despedida,Interjeição Simples,Oi!
Saudação / Despedida,Interjeição Simples,Tchau!
Saudação / Despedida,Interjeição Simples,Adeus!
Saudação / Despedida,Interjeição Simples,Salve!
Saudação / Despedida,Interjeição Simples,Ave!
Saudação / Despedida,Locução Interjectiva,Até logo!
Saudação / Despedida,Locução Interjectiva,Bom dia!
Saudação / Despedida,Locução Interjectiva,Passa bem!
Silêncio,Interjeição Simples,Psiu!
Silêncio,Interjeição Simples,Chiu!
Silêncio,Interjeição Simples,Silêncio!
Silêncio,Interjeição Simples,Bico-calado!
Silêncio,Locução Interjectiva,Fique quieto!
Silêncio,Locução Interjectiva,Nem mais uma palavra!
